DATABASE,,,Read&Write,,,,
,,,h5p.json,content/content.json,Input,Assets,Format
Lesson.name,,,title,,,,
,,,,endGame.failVideo.0.path,,,randomFailVideo
,,,,endGame.successVideo.0.path,,,randomSuccessVideo
Lesson.Writing.resources[0].mp3,,,,questions.2.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_6_1.mp3,
Lesson.Writing.resources[0].mp3,,,,questions.2.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_6_1.mp3,
Lesson.Writing.resources[0].instructions.en,,,,questions.2.params.taskDescription,,,
Lesson.Writing.resources[0].questions[0].question,,,,questions.2.params.textField,,,
Lesson.Writing.resources[1].mp3,,,,questions.3.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_6_2.mp3,
Lesson.Writing.resources[1].instructions.en,,,,questions.3.params.text,,,
Lesson.Writing.resources[1].questions[0].question,,,,questions.3.params.questions.0,,,
Lesson.Writing.resources[2].instructions.en,,,,questions.5.params.taskDescription,,,
Lesson.Writing.resources[2].questions[0].question,,,,questions.5.params.textField,,,
Lesson.Writing.resources[3].mp3,,,,questions.6.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_8_2.mp3,
Lesson.Writing.resources[3].body,,,,questions.6.params.textField,,,
Lesson.Writing.resources[3].instructions.en,,,,questions.6.params.taskDescription,,,
Lesson.Reading.resources[0].mp3,,,,questions.0.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_3.mp3,
Lesson.Reading.resources[0].instructions.en,,,,questions.0.params.taskDescription,,,
Lesson.Reading.resources[0].questions[0].question,,,,questions.0.params.textField,,,
Lesson.Reading.resources[1].mp3,,,,questions.1.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_5.mp3,
Lesson.Reading.resources[1].instructions.en,,,,questions.1.params.taskDescription,,,
Lesson.Reading.resources[1].questions[0].question,,,,questions.1.params.textField,,,
Lesson.Reading.resources[2].mp3,,,,questions.4.params.media.params.files.0.path,,https://s3.us-east-2.amazonaws.com/coreproductido/B1.3/M%C3%B3dulo+III/B1.3_Unit7_Lesson19_TextReadAloud_8_1.mp3,
Lesson.Reading.resources[2].instructions.en,,,,questions.4.params.taskDescription,,,
Lesson.Reading.resources[2].questions[0].question,,,,questions.4.params.textField,,,